Título da Notícia;Link
"Mega-Sena acumula, e prêmio sobe para R$ 100 milhões, veja números";https://g1.globo.com/loterias/mega-sena/noticia/2025/11/11/mega-sena-concurso-2939-resultado.ghtml
"Protesto na COP30 acaba com seguranças feridos e bloqueia saída";https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/11/11/cop30-protesto-segundo-dia-da-conferencia.ghtml
"PF afirma que 'prefeito tiktoker' é líder de organização criminosa";https://g1.globo.com/sp/sorocaba-jundiai/noticia/2025/11/11/rodrigo-manga-lider-organizacao.ghtml
"Trump diz que vai reduzir tarifas do café, mas não especifica de quais países";https://g1.globo.com/economia/agronegocios/noticia/2025/11/11/trump-reduzir-tarifas-cafe.ghtml
"Toffoli e Mendonça batem boca no STF: 'Fico exaltado com covardia'";https://g1.globo.com/politica/noticia/2025/11/11/toffoli-e-mendonca-tem-discussao-acalorada-em-sessao-da-segunda-turma-do-stf-um-pouco-exaltado.ghtml
"Bolsa bate recorde pelo 12º dia e dólar tem menor valor em 17 meses";https://g1.globo.com/economia/noticia/2025/11/11/dolar-ibovespa.ghtml
"Celular que atende sozinho: como é a função no iPhone e no Galaxy";https://g1.globo.com/guia/guia-de-compras/tecnologia/o-celular-atende-sozinho-g1-testa-a-funcao-no-iphone-e-no-galaxy.ghtml
